gene_id,symbol,name,cytoband,type,num_cohort_ssm_affected_cases,num_cohort_ssm_cases,cohort_ssm_affected_cases_percentage,num_gdc_ssm_affected_cases,num_gdc_ssm_cases,gdc_ssm_affected_cases_percentage,num_cohort_cnv_cases,num_cohort_cnv_gain_cases,cohort_cnv_gain_cases_percentage,num_cohort_cnv_loss_cases,cohort_cnv_loss_cases_percentage,num_mutations,annotations
ENSG00000138413,IDH1,isocitrate dehydrogenase (NADP(+)) 1,2q34,protein_coding,394,513,76.80,600,16508,3.63,515,7,1.36,13,2.52,4,Cancer Gene Census
ENSG00000141510,TP53,tumor protein p53,17p13.1,protein_coding,240,513,46.78,4964,16508,30.07,515,6,1.17,10,1.94,169,Cancer Gene Census
ENSG00000085224,ATRX,ATRX chromatin remodeler,Xq21.1,protein_coding,187,513,36.45,817,16508,4.95,515,0,0.00,0,0.00,190,Cancer Gene Census
ENSG00000079432,CIC,capicua transcriptional repressor,19q13.2,protein_coding,110,513,21.44,464,16508,2.81,515,23,4.47,236,45.83,96,Cancer Gene Census
ENSG00000162613,FUBP1,far upstream element binding protein 1,1p31.1,protein_coding,45,513,8.77,229,16508,1.39,515,12,2.33,183,35.53,42,Cancer Gene Census
ENSG00000121879,PIK3CA,"phosphatidylinositol-4,5-bisphosphate 3-kinase catalytic subunit alpha",3q26.32,protein_coding,41,513,7.99,1685,16508,10.21,515,12,2.33,21,4.08,29,Cancer Gene Census
ENSG00000181143,MUC16,"mucin 16, cell surface associated",19p13.2,protein_coding,41,513,7.99,2903,16508,17.59,515,41,7.96,6,1.17,56,Cancer Gene Census
ENSG00000148400,NOTCH1,notch receptor 1,9q34.3,protein_coding,38,513,7.41,812,16508,4.92,515,29,5.63,30,5.83,42,Cancer Gene Census
ENSG00000146648,EGFR,epidermal growth factor receptor,7p11.2,protein_coding,31,513,6.04,660,16508,4.00,515,96,18.64,0,0.00,22,Cancer Gene Census
ENSG00000196712,NF1,neurofibromin 1,17q11.2,protein_coding,29,513,5.65,887,16508,5.37,515,7,1.36,15,2.91,38,Cancer Gene Census
